"","point","review"
"1","8",""
"2","10","진심으로 멋진 뮤지컬 영화라고 생각합니다.  < 라라랜드> 이건 꼭 봐야합니다!!"
"3","10",""
"4","8","잘만든 클래식 분위기의 영화. 음악이 여운이 많이 남고 엠마스톤의 연기가 일품"
"5","10","동화 같은 완벽한 영상과 아름다운 재즈마지막 라이언의 미소가 오래 남는다"
"6","9","아름다운 영화였고, 영화의 후반부에서의 그 구성이 너무나 인상깊었다.  해피엔딩이 아니라서 더 현실적이었고 더 좋았다."
"7","10","관객마음을 아리게 하는 짖궂고 아름다운 영화"
"8","6","그저 그럼."
"9","1",""
"10","10","최고의 영화"
"11","8","꿈, 사랑, 좋은 음악, 러블리한 주인공들, 그리고 현실"
"12","10","아름답다"
"13","6","사랑영화가아닌꿈에관한 영화"
"14","9","영화가 존재하는 이유"
"15","10","음악이며 내용이며 영상이며 뭐하나 빠지는 게 없는 수작입니다. 두 번 보았는데 볼때마다 재미있습니다. 맘마미아1탄만큼 좋았습니다. 어떻게 이렇게 감미롭게 만들었는지 정말 감독과 배우들에게 박수를 보냅니다."
"16","9","감동적. 음악좋음. 재밌고 짠함.뛰어난 작품성"
"17","9","입장부터 너무나 강렬하고 환상적인 라라랜드."
"18","2","웰메이드"
"19","10",""
"20","5",""
"21","9",""
"22","1",""
"23","8","라라랜드 잔잔한 여운이 ~~tv방영 볼때 마다 가슴이 아파~~~"
"24","10","인생영화"
"25","7","영화내내 아무 의미없는 대화와 노래주고 받다가 마지막에 의미랍시고 관객농락 하는 전형적인 10탁기 영화."
"26","10","이렇게 훌륭한 영화를 이제 봤네요^^;;음악도 좋고 감동과 여운이 남는 영화였어요.. 주연배우들도 넘 멋있구요.. 못보신 분들은 꼭 보시길 강추합니다"
"27","9","우리 세대의 가장 로맨틱한 뮤지컬"
"28","0","한줄요약 : 시발냔"
"29","10","언제봐도....굿"
"30","10","진짜 너무 감동적이고 재밌어요ㅠㅠㅠ 노래도 좋고 일단 꼭보세요 진짜 너무 재밌어요 보세요!!"
"31","7",""
"32","8","좋은 노래"
"33","9","가는 과정에 비하면 결말은 중요하지 않다고. 누가 그랬더라..... 음악과 영상이 너무 아름답고 결말은 결국 지나간 사랑과, 하지만 계속 진행 된 꿈의 이야기. 이 영화는 사랑보다는 꿈을 이룬 두 남녀의 아름다운 과정에 관한 음악. 왜 다들 그렇게 보라고 했는지 이제야 이해가 가. 그리고 나도 같은 선택을 했을 것..."
"34","8","도시의 별들에 내 마음이 흐른다.  City of stars Are you shinning for me....."
"35","10",""
"36","8",""
"37","10",""
"38","10",""
"39","8","평생 당신만 사랑한다 해놓고..."
"40","8","이 정도면 상당히 수작이지"
"41","10","마지막에 울컥 했네요 ㅠㅠ"
"42","10",""
"43","10",""
"44","5",""
"45","10",""
"46","9","옷 색감이랑 음악들이랑 눈귀 둘다 즐거웠던 영화ㅠ마무리까지 여운남아서 더 기억에 남는 것 같다."
"47","8","마지막 상상은 모든여자의 현실이야"
"48","7",""
"49","10",""
"50","8",""
"51","8","꿈과 사랑"
